CODIGO_ACTIVIDAD,DESCRIPCION_ACTIVIDAD,ANIO,CODIGO_ENTIDAD,ENTIDAD,H000B_Y_H000C_I000B_Y_I000C,H000B_Y_I000B,H000C_Y_I000C,H000A_H000B_Y_H000C,H000B,H000C,I000B_Y_I000C,I000B,I000C,H000E_Y_H000F_I000E_Y_I000F,H000E_Y_I000E,H000F_Y_I000F,H000E_Y_H000F,H000E,H000F,I000E_Y_I000F,I000E,I000F,J000A_J000B_J000C,J000B,J000C,J000A_Y_H000A,J000B_Y_H000B,J000C_Y_H000C,K000A,K321A,K322A,K324A,K200A,K421A,K412A,K521A,K590A,K610A,K620A,K720A,K999A_Y_K810A_Y_K820A,M000A,M321A,M322A,M200A,M323A,M510A,M590A,M999A,O111A,O112A,O200A,P000A,Q000A,Q100A,Q200A,Q300A,Q400A,Q900A,Q000B,Q100B,Q200B,Q300B,Q400B,Q900B,Q000C,Q100C,Q200C,Q300C,Q400C,Q900C,Q000D,Q100D,Q200D,Q300D,Q400D,Q900D,ESTATUS
23,Construcción,2018,00,Nacional,643177,547622,95555,586736,499095,87641,56441,48527,7914,1501268,1232955,268313,1340065,1094299,245766,161203,138656,22547,76070084,63960360,12109724,131414,128153,138175,469274987,197496608,17468353,861763,21022439,19410736,2969285,8431216,7686396,14616604,327936,94684125,84299527,713222072,441166895,67195143,69565181,49532371,3357543,7929559,74475379,492413925,60642328,99959,9216390,165980946,71757853,35034783,40755799,6782640,11649870,22467865,10806828,1318948,8158012,975747,1208330,4954147,1975354,717822,1120120,822312,318539,1874282,847511,183328,688595,57660,97188,Cifras definitivas
236,Edificación,2018,00,Nacional,320296,270733,49563,296570,251325,45245,23726,19408,4318,764507,621008,143499,697187,565916,131271,67320,55092,12228,37691395,31291503,6399892,128333,124506,141450,220273559,89564848,5179818,385662,10219810,4530675,1857985,2771777,5232664,6284551,80757,64840599,29324413,357412679,219887979,12251242,30504012,46007676,1202252,4417434,43142082,241417574,18080489,67826,4579302,67315949,18707494,16495841,20834194,3436012,7842409,8847476,2731586,551941,4278254,449775,835921,2607339,653760,591724,460214,693932,207709,963985,301255,91854,443212,45034,82630,Cifras definitivas
237,Construcción de obras de ingeniería civil,2018,00,Nacional,194162,169260,24902,165381,143638,21743,28781,25621,3160,433826,365637,68189,351289,292158,59131,82537,73478,9059,23550107,20279425,3270682,143394,141184,150427,169617409,78439775,4162161,381547,4222424,7334512,711870,4769062,1183940,7480341,237237,26497012,34197529,224710310,167913601,7814441,20192313,2079988,1653918,2115851,22940197,193905286,12865450,26979,3119499,66735194,40833031,5886205,14251793,2682845,3081321,9152711,5694353,226595,2524611,427724,279427,1546561,967423,42580,368138,81089,87331,700793,450081,40465,183453,12510,14283,Cifras definitivas
238,Trabajos especializados para la construcción,2018,00,Nacional,128719,107629,21090,124785,104131,20653,3934,3498,437,302935,246310,56625,291589,236224,55365,11346,10085,1261,14828582,12389432,2439150,122625,118979,118100,79384019,29491985,8126374,94554,6580205,7545550,399430,890377,1269792,851712,9942,3346514,20777585,131099083,53365315,47129459,18868856,1444707,501372,1396274,8393100,57091065,29696390,5154,1517588,31929802,12217329,12652737,5669812,663784,726140,4467679,2380888,540412,1355147,98249,92982,800248,354172,83518,291768,47291,23499,209504,96174,51008,61930,116,276,Cifras definitivas
23,Construcción,2018,01,Aguascalientes,10827,9275,1552,10571,9021,1550,256,254,2,24387,19856,4531,23645,19119,4526,742,737,5,1158295,970496,187799,110988,107582,121178,5872785,2594877,79270,72003,90008,428529,96956,110953,38041,50651,246,1179171,1132079,7754607,6444398,218925,257193,11203,38928,462813,321147,7210798,167573,7531,418051,3487825,1110112,1697177,554850,68822,56865,258455,198247,16237,26931,11495,5545,62918,10549,37573,13497,763,536,18347,3462,6395,8489,0,0,Cifras definitivas
23,Construcción,2018,02,Baja California,19680,16750,2930,17416,14946,2470,2264,1804,460,45578,37003,8576,39060,31806,7253,6519,5197,1322,2956202,2479475,476727,172535,165895,193026,14071660,9077771,120838,389134,113810,393812,34700,122413,55011,400659,805,2126465,1236240,23143278,22324730,216469,325145,68254,23497,60910,124274,19515290,858360,817,247473,3102255,1753255,405992,707262,87304,148442,784980,501700,17773,219896,16730,28881,111090,53079,11469,44191,1505,846,36934,16966,0,19937,31,0,Cifras definitivas
23,Construcción,2018,03,Baja California Sur,10269,8534,1735,9578,8005,1574,691,530,161,23198,18103,5095,21205,16575,4630,1993,1528,465,1164270,1001032,163238,123613,125059,103737,3391778,1168064,124052,820,95822,115078,9094,73998,42367,147042,575,1281888,332979,4319752,3536066,281581,272746,5944,11799,6207,205409,6603127,1773143,0,42285,1654891,521209,220449,777371,50612,85250,306400,104623,4475,177257,6538,13507,43889,35274,385,3618,2628,1983,85518,6846,6678,71941,16,38,Cifras definitivas
23,Construcción,2018,04,Campeche,6882,6376,505,3186,2694,491,3696,3682,14,18401,17009,1392,7757,6405,1352,10644,10604,40,1327173,1116923,210250,423616,414547,427981,3994296,1143349,145680,0,46080,343130,24695,351810,31382,220854,222948,1223207,241160,6160869,5319493,20416,115892,17311,239835,44586,403336,5157121,110024,0,56064,3375620,2665853,154132,250846,88235,216554,223779,159531,5433,39074,8332,11408,50496,40325,0,9144,609,417,34933,23937,5820,5175,0,0,Cifras definitivas
23,Construcción,2018,05,Coahuila de Zaragoza,24506,20009,4498,20860,16954,3907,3646,3055,591,58463,45265,13198,47966,36471,11494,10498,8794,1704,2974473,2356208,618265,143555,138978,158262,19148249,8927272,489817,0,149832,647977,88295,435703,90285,1948242,0,4213064,2157762,24661525,20888473,2327323,428092,85500,196835,478244,257059,20386915,2419367,2722,1345343,6764123,3467544,1201404,1782168,111397,201610,676263,290213,40523,308690,15086,21752,224620,133810,24798,57260,6624,2128,66962,51445,0,15517,0,0,Cifras definitivas
23,Construcción,2018,06,Colima,6178,5282,895,6105,5210,895,72,72,0,13982,11361,2621,13770,11149,2621,212,212,0,624482,521422,103060,104158,100079,115143,2442735,1019564,4002,4227,119180,272720,27509,29231,24707,17280,0,59440,864876,4908014,4050988,4993,340505,208229,18664,102860,181775,3613663,13499,0,193909,1437181,489450,498948,263105,103580,82099,349565,114062,75886,132903,15929,10786,41546,30021,53,4444,2027,5002,76365,72149,1328,2888,0,0,Cifras definitivas
